Years,Methane_Emissions
2018,95.53
2017,92.97
2016,90.88
2015,95.59
2014,97.42
2013,95.29
2012,92.87
2011,90.27
2010,90.39
2009,91.84
2008,96.41
2007,99.57
2006,101.58
2005,101.6
2004,103.37
2003,102.51
2002,103.9
2001,105.36
2000,108.29
1999,110.64
1998,115.71
1997,108.86
1996,108.74
1995,102.21
1994,98.36
1993,95.79
1992,93.17
1991,89.14
1990,87.75
