Years,Methane_Emissions
2018,139.89
2017,140.33
2016,119.11
2015,134.07
2014,136.22
2013,128.5
2012,167.51
2011,169.32
2010,119.58
2009,133.07
2008,128.75
2007,145.83
2006,150.66
2005,129.13
2004,148.37
2003,130.72
2002,169.22
2001,176.75
2000,169.83
1999,163.9
1998,151.02
1997,150.49
1996,146.29
1995,151.43
1994,152.9
1993,154.07
1992,157.41
1991,157.99
1990,158.28
