Years,Methane_Emissions
2018,39.94
2017,39.63
2016,39.27
2015,39.22
2014,37.67
2013,38.08
2012,38.68
2011,39.22
2010,39.45
2009,40.94
2008,39.35
2007,40.88
2006,40.13
2005,40.57
2004,40.75
2003,40.99
2002,40.84
2001,40.43
2000,39.8
1999,39.04
1998,38.45
1997,38.02
1996,36.19
1995,35.32
1994,34.88
1993,34.46
1992,34.86
1991,34.37
1990,34.26
