Years,Methane_Emissions
2018,48.04
2017,46.52
2016,48.38
2015,47.97
2014,50.89
2013,46.42
2012,45.25
2011,45.41
2010,45.56
2009,47.32
2008,42.6
2007,43.36
2006,41.15
2005,43.53
2004,42.1
2003,39.15
2002,38.33
2001,35.85
2000,36.52
1999,35.67
1998,44.65
1997,35.05
1996,33.67
1995,33.77
1994,33.1
1993,32.06
1992,31.12
1991,30.29
1990,29.69
