Years,Methane_Emissions
2018,21.12
2017,21.23
2016,21.45
2015,21.9
2014,22.6
2013,23.14
2012,23.43
2011,23.77
2010,24.93
2009,25.25
2008,25.74
2007,26.39
2006,26.75
2005,27.13
2004,27.47
2003,27.58
2002,28.07
2001,28.88
2000,30.13
1999,30.75
1998,31.29
1997,32.76
1996,33.5
1995,34.98
1994,36.17
1993,36.47
1992,37.08
1991,37.18
1990,37.86
